name,ttl,type,value
"nanmainfosolutions.in","3600","NETLIFY","imaginative-cuchufli-a8425a.netlify.app"
"www.nanmainfosolutions.in","3600","NETLIFY","imaginative-cuchufli-a8425a.netlify.app"
